name,budget,placeType,travelers,duration,description,latitude,longitude
Banff 6,1560,Mountains,Family,5,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,51.1576,-115.5523
Amazon Rainforest,1165,Nature,Couple,5,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,-5.4954,-74.3417
Andes,1792,Mountains,Couple,4,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,5.6358,-75.9173
Seychelles,3864,Beach,Friends,7,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-4.6426,55.4248
Myrtle Beach 6,3282,Beach,Family,4,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",33.682,-78.9292
Tanzania,972,Nature,Solo,7,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",-6.552,35.8038
Bhutan,1784,Nature,Family,9,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",27.5874,90.4861
Kenya Safari 9,681,Nature,Family,9,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-1.8003,36.802
Mauritius,1573,Beach,Friends,8,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-20.2719,57.5791
Ooty Hills,3431,Mountains,Family,8,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",11.4189,76.6858
Seychelles Central,4105,Beach,Friends,5,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-4.6189,55.4977
Prague Central,1660,City,Family,8,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",50.0598,14.4217
Agra 5,1295,Historical,Friends,7,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",27.2221,78.0047
Tanzania,1462,Nature,Solo,7,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",-6.5231,35.8124
Seoul 7,3303,City,Friends,3,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",37.5503,127.0248
Bukhara North,1599,Historical,Friends,3,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",39.8086,64.4303
Hawaii,1411,Beach,Friends,6,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",19.6405,-155.469
Munnar 7,2312,Nature,Family,12,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",10.0513,77.0473
Langkawi East,3123,Beach,Friends,6,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,6.4182,99.7767
Cancun,1634,Beach,Friends,7,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",21.1582,-86.7951
New Zealand,1117,Nature,Couple,6,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-41.4864,172.7969
Luxor,2822,Historical,Family,5,A destination full of ancient sites and local history. Comfortable for family travel.,25.7183,32.6482
Delhi Heritage,2958,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,28.6967,77.2047
Luxor East,2599,Historical,Couple,3,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",25.7333,32.6827
Varanasi 3,1276,Historical,Friends,8,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",25.3524,83.0362
Zurich North,3224,City,Friends,11,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",47.3903,8.5171
Machu Picchu East,1665,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,-13.1152,-72.5761
Nepal Himalayas,2426,Mountains,Family,6,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",27.9596,86.8672
Iceland,1418,Nature,Family,4,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",64.9822,-18.1311
Budapest 2,1777,City,Couple,4,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",47.4463,19.1814
Istanbul Old Town,1287,Historical,Family,6,A destination full of ancient sites and local history. Comfortable for family travel.,50.0611,19.9279
Milan,2077,City,Solo,11,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",45.4658,9.2099
Sri Lanka Rainforest,1735,Nature,Solo,12,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,6.4159,80.4868
Ephesus East,2672,Historical,Solo,7,A destination full of ancient sites and local history. Good for independent travel.,37.9344,27.3341
Vienna,3403,City,Family,9,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,48.2553,16.3705
Canada Wilderness,2404,Nature,Friends,9,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",51.1762,-115.5235
Barcelona,1798,City,Friends,9,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",41.4015,2.2208
Varanasi,2597,Historical,Couple,3,A destination full of ancient sites and local history. Great for romantic trips.,25.377,83.0153
Canada Wilderness North,2616,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",51.1755,-115.5766
Sri Lanka Rainforest,3145,Nature,Friends,10,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",6.4314,80.5025
Myrtle Beach 9,3508,Beach,Couple,8,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",33.7016,-78.9378
Angkor Wat,2041,Historical,Family,7,A destination full of ancient sites and local history. Comfortable for family travel.,13.4387,103.8936
Goa,3584,Beach,Couple,4,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,15.2565,74.0965
Istanbul Old Town,1011,Historical,Family,8,A destination full of ancient sites and local history. Comfortable for family travel.,50.09,19.9187
Dubai Coast,5375,Beach,Solo,5,A scenic beach getaway with water sports and sunsets. Good for independent travel.,25.2556,55.263
Gulmarg Central,1120,Mountains,Friends,2,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,34.064,74.3459
Varanasi,810,Historical,Couple,4,A destination full of ancient sites and local history. Great for romantic trips.,25.3447,83.0062
Cairo,1221,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",30.0829,31.2224
Toronto 4,3283,City,Friends,11,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",43.6956,-79.4196
Hampi 1,2356,Historical,Family,4,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",15.3644,76.4164
San Francisco,3362,City,Couple,5,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",37.7492,-122.3787
Zanzibar 8,2282,Beach,Solo,3,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",-6.1275,39.2752
Banff,1880,Mountains,Couple,6,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,51.168,-115.6122
Kenya Safari,970,Nature,Friends,11,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-1.8489,36.7364
Tokyo Central,2059,City,Couple,11,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",35.6986,139.7914
Teotihuacan Central,1715,Historical,Friends,6,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",19.7043,-98.8382
Iceland,1820,Nature,Friends,12,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",64.9649,-18.0708
Galapagos North,1603,Nature,Solo,12,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,40.6833,-3.3634
Istanbul Old Town West,2997,Historical,Couple,5,A destination full of ancient sites and local history. Great for romantic trips.,50.0312,19.9583
Varanasi South,1028,Historical,Family,8,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",25.3164,83.0506
Teotihuacan,2853,Historical,Friends,2,A destination full of ancient sites and local history. Fun for group travel and activities.,19.7058,-98.8932
Manali Central,2807,Mountains,Friends,2,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",32.2491,77.2179
Hawaii,5083,Beach,Family,10,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,19.601,-155.4648
Dubai Coast,4970,Beach,Friends,4,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",25.2321,55.349
Costa Rica,881,Nature,Friends,6,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,10.2778,-84.0391
Langkawi West,5168,Beach,Family,7,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,6.3209,99.8347
Angkor Wat,2171,Historical,Couple,3,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",13.4209,103.8757
Andes,2779,Mountains,Family,6,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",5.6966,-75.8973
Sikkim Nature,2329,Nature,Couple,11,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,27.3305,88.5328
Pantanal,1818,Nature,Friends,6,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",-17.6933,-57.4837
Istanbul West,3688,City,Friends,8,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",41.0431,29.0255
Hawaii North,1822,Beach,Family,10,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,19.605,-155.404
Miami Beach 6,1612,Beach,Couple,10,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,25.837,-80.1157
Cairo 8,2785,Historical,Family,5,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",30.0065,31.2849
New Zealand South,3085,Nature,Couple,7,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-41.5397,172.8243
Berlin,3642,City,Couple,6,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",52.5561,13.4228
Scotland Highlands South,2464,Mountains,Family,4,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",57.3447,-4.2725
Santorini Central,1646,Beach,Couple,9,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,36.4085,25.4365
Bora Bora East,3080,Beach,Friends,10,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-16.5502,-151.7092
Norway Fjords Central,2309,Nature,Solo,8,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,61.0343,5.83
Alps Village,1515,Mountains,Family,8,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,33.9004,-83.4331
Madagascar,1709,Nature,Family,3,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-18.9417,46.4444
Zurich,1972,City,Friends,5,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,47.3581,8.5803
Tulum North,2120,Beach,Family,4,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,20.3851,-87.6933
Madagascar,869,Nature,Couple,7,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-18.9096,46.4851
Zanzibar South,5348,Beach,Family,7,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-6.0556,39.282
Manali 7,1008,Mountains,Friends,4,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,32.2365,77.1669
Los Angeles Central,857,City,Friends,6,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",34.0821,-118.2123
Queenstown North,3315,Mountains,Friends,7,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",-45.006,168.6443
Munnar,2998,Nature,Family,6,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,10.0939,77.0728
Kyoto,785,Historical,Couple,2,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",35.0594,135.7766
Zanzibar East,4183,Beach,Couple,10,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-6.0722,39.3327
Miami Beach,5008,Beach,Solo,9,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,25.7861,-80.178
Hampi,2085,Historical,Couple,2,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",15.3377,76.4694
Istanbul Old Town,1100,Historical,Couple,8,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",50.0274,19.9617
Costa Rica,1866,Nature,Solo,6,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,10.3104,-84.0757
Nice Coast,2908,Beach,Couple,8,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,-30.836,30.4273
Zanzibar,2429,Beach,Family,4,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-6.0621,39.2897
Nice Coast,1129,Beach,Family,5,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,-30.7847,30.3483
Samarkand 6,860,Historical,Solo,5,"Ideal for museums, architecture and timeless charm. Good for independent travel.",39.6118,66.9884
Berlin Central,3319,City,Couple,2,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,52.4774,13.3818
Tokyo North,2445,City,Friends,8,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",35.6891,139.7195
Istanbul,1069,City,Couple,4,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",40.9908,28.9269
Coorg,2358,Nature,Family,11,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,12.3636,75.6206
Edinburgh,2561,City,Couple,9,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",55.9932,-3.1442
Luxor,1880,Historical,Solo,5,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",25.6874,32.6555
Cairo,949,Historical,Solo,2,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",30.0137,31.1937
Iceland,1000,Nature,Family,9,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",65.0309,-18.1463
Uganda,924,Nature,Family,12,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,1.4844,32.1709
Jerusalem,2034,Historical,Solo,8,A destination full of ancient sites and local history. Good for independent travel.,31.7311,35.1909
Sri Lanka Rainforest,2797,Nature,Friends,12,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,6.4265,80.4905
Swiss Alps,1819,Mountains,Couple,6,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",46.6353,8.6951
Nice Coast 2,1570,Beach,Friends,5,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,-30.8353,30.4035
Luxor,1996,Historical,Friends,3,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",25.7236,32.6521
New Zealand,1137,Nature,Solo,5,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-41.5022,172.8119
Luxor 4,2410,Historical,Friends,5,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",25.6828,32.6528
Andes,1860,Mountains,Solo,9,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",5.6997,-75.849
Jaipur,631,Historical,Solo,3,A destination full of ancient sites and local history. Good for independent travel.,26.9534,75.8198
Kashmir Valley,731,Mountains,Solo,9,A mountain retreat with fresh air and adventure activities. Good for independent travel.,25.317,55.312
Sri Lanka Rainforest,795,Nature,Family,9,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",6.441,80.5482
Edinburgh Central,3158,City,Family,8,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",55.9373,-3.201
Amsterdam,2130,City,Solo,4,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",52.4077,4.9141
Kyoto,2384,Historical,Couple,6,A destination full of ancient sites and local history. Great for romantic trips.,34.9856,135.7884
Kashmir Valley,2064,Mountains,Couple,4,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",25.2596,55.3456
Kenya Safari,1938,Nature,Family,5,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",-1.8339,36.7773
Santorini 8,1617,Beach,Couple,5,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,36.4045,25.4972
Delhi Heritage West,1894,Historical,Family,3,A destination full of ancient sites and local history. Comfortable for family travel.,28.6407,77.2815
Mount Fuji East,2141,Mountains,Solo,3,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",35.3725,138.7772
Bangkok North,1114,City,Family,12,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",13.7933,100.5107
Munnar 6,2342,Nature,Solo,12,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",10.0887,77.062
Amazon Rainforest 2,2345,Nature,Solo,4,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,-5.495,-74.36
Bali 9,4586,Beach,Couple,10,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,-8.2116,115.1682
Scotland Highlands,2286,Mountains,Family,8,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",57.286,-4.2128
Manali,1863,Mountains,Friends,6,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",32.202,77.1964
Amazon Rainforest,1770,Nature,Family,9,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-5.4931,-74.2941
Varanasi,2756,Historical,Couple,2,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",25.3081,82.9898
Patagonia,1577,Mountains,Couple,7,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",31.5046,-110.791
Phuket 3,1828,Beach,Family,3,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",7.9743,98.3078
Santorini,2356,Beach,Couple,10,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,36.4068,25.4211
Gold Coast,4677,Beach,Family,6,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-28.028,153.4409
Mauritius 9,4782,Beach,Friends,7,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-20.3109,57.5409
Seychelles 6,3048,Beach,Couple,3,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,-4.7053,55.4772
Kerala 8,843,Nature,Family,5,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",10.3847,76.5536
Cairo,2447,Historical,Couple,4,A destination full of ancient sites and local history. Great for romantic trips.,30.0075,31.2707
Madagascar,2081,Nature,Couple,4,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",-18.9744,46.4564
Dublin North,1398,City,Family,4,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,53.3896,-6.2658
Langkawi,1043,Beach,Friends,4,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,6.3523,99.816
Slovenia,955,Nature,Friends,7,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",46.0946,14.8548
Miami Beach,1514,Beach,Friends,4,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,25.8212,-80.1099
Galapagos 1,1088,Nature,Couple,7,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",40.7324,-3.3229
Nice Coast,2534,Beach,Friends,4,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-30.8136,30.4211
Coorg,2099,Nature,Solo,10,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",12.3532,75.6295
Bangkok,2212,City,Solo,5,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",13.7094,100.4834
Kodaikanal,3332,Mountains,Family,4,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",10.2185,77.5281
Madrid,951,City,Friends,6,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",40.3727,-3.6901
Patagonia,2924,Mountains,Friends,9,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,31.5362,-110.7575
Banff East,1819,Mountains,Family,3,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",51.153,-115.5578
Prague Old Town 6,1365,Historical,Family,5,A destination full of ancient sites and local history. Comfortable for family travel.,50.0626,14.4489
Chicago 3,1123,City,Friends,8,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",41.8699,-87.6641
Manali 8,2043,Mountains,Solo,6,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",32.2651,77.1572
Machu Picchu 6,2039,Historical,Friends,5,A destination full of ancient sites and local history. Fun for group travel and activities.,-13.1333,-72.5623
Banff,3449,Mountains,Solo,8,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",51.1271,-115.5673
Tulum,1285,Beach,Friends,5,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",20.474,-87.6261
Delhi Heritage,1228,Historical,Solo,7,A destination full of ancient sites and local history. Good for independent travel.,28.6524,77.284
Milan,2968,City,Couple,7,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",45.506,9.1494
Paris,2844,City,Couple,10,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",48.9063,2.2927
Alps Village,3206,Mountains,Couple,6,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",33.983,-83.3725
Berlin,3721,City,Couple,9,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,52.5004,13.4287
Toronto 6,2028,City,Family,4,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",43.6354,-79.4339
Singapore 6,1769,City,Couple,9,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,1.3381,103.8109
Alps Village North,3206,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",33.9405,-83.3614
Samarkand,2277,Historical,Friends,8,A destination full of ancient sites and local history. Fun for group travel and activities.,39.6248,67.0129
Berlin 3,3585,City,Friends,10,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,52.5568,13.3526
Norway Fjords 2,2272,Nature,Couple,11,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",61.0441,5.7628
Himachal Hills,2021,Mountains,Couple,5,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",0.0,0.0
Rocky Mountains,1212,Mountains,Family,6,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",43.3374,-110.8934
Nice Coast,2402,Beach,Couple,8,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,-30.8475,30.3965
Hong Kong 7,3467,City,Family,5,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,22.3224,114.1985
Lisbon West,3429,City,Family,6,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",38.7359,-9.1188
Cairo West,1247,Historical,Solo,5,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",30.0307,31.2151
Austria Alps,1980,Mountains,Couple,7,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,47.2444,13.5157
Munnar,1807,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",10.1321,77.054
Maui,1414,Beach,Solo,7,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,20.7658,-156.3262
Queenstown West,1477,Mountains,Family,4,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,-45.0605,168.6285
Sikkim,1068,Mountains,Solo,8,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",27.5591,88.4487
Madagascar,707,Nature,Solo,7,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,-18.9609,46.449
Edinburgh East,2565,City,Solo,4,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",55.9312,-3.2011
